Case ID;Activity;Resource;Start;Complete;Variant;Variant index
travel permit 76305;End trip;EMPLOYEE;19-01-2017 20:00:00;19-01-2017 20:00:00;Variant 4;4
travel permit 76305;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;24-01-2017 5:18:42;24-01-2017 5:18:42;Variant 4;4
travel permit 76305;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;24-01-2017 5:18:56;24-01-2017 5:18:56;Variant 4;4
travel permit 76305;Request Payment;UNDEFINED;27-01-2017 7:18:03;27-01-2017 7:18:03;Variant 4;4
travel permit 76305;Payment Handled;UNDEFINED;30-01-2017 13:31:40;30-01-2017 13:31:40;Variant 4;4
travel permit 73726;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;11-01-2017 8:09:56;11-01-2017 8:09:56;Variant 4;4
travel permit 73726;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;11-01-2017 8:10:01;11-01-2017 8:10:01;Variant 4;4
travel permit 73726;Start trip;EMPLOYEE;19-02-2017 20:00:00;19-02-2017 20:00:00;Variant 4;4
travel permit 73726;End trip;EMPLOYEE;23-02-2017 20:00:00;23-02-2017 20:00:00;Variant 4;4
travel permit 73726;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;30-03-2017 10:00:09;30-03-2017 10:00:09;Variant 4;4
travel permit 73726;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;30-03-2017 10:00:24;30-03-2017 10:00:24;Variant 4;4
travel permit 73726;Request Payment;UNDEFINED;31-03-2017 6:22:28;31-03-2017 6:22:28;Variant 4;4
travel permit 73726;Payment Handled;UNDEFINED;03-04-2017 12:31:09;03-04-2017 12:31:09;Variant 4;4
travel permit 72861;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;11-01-2017 17:55:13;11-01-2017 17:55:13;Variant 4;4
travel permit 72861;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;11-01-2017 17:55:18;11-01-2017 17:55:18;Variant 4;4
travel permit 72861;Start trip;EMPLOYEE;11-01-2017 20:00:00;11-01-2017 20:00:00;Variant 4;4
travel permit 72861;End trip;EMPLOYEE;19-01-2017 20:00:00;19-01-2017 20:00:00;Variant 4;4
travel permit 72861;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;22-02-2017 14:08:07;22-02-2017 14:08:07;Variant 4;4
travel permit 72861;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;22-02-2017 14:14:32;22-02-2017 14:14:32;Variant 4;4
travel permit 72861;Request Payment;UNDEFINED;03-03-2017 10:51:42;03-03-2017 10:51:42;Variant 4;4
travel permit 72861;Payment Handled;UNDEFINED;06-03-2017 13:31:08;06-03-2017 13:31:08;Variant 4;4
travel permit 74189;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;12-01-2017 6:51:30;12-01-2017 6:51:30;Variant 4;4
travel permit 74189;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;12-01-2017 6:51:32;12-01-2017 6:51:32;Variant 4;4
travel permit 74189;Start trip;EMPLOYEE;01-02-2017 20:00:00;01-02-2017 20:00:00;Variant 4;4
travel permit 74189;End trip;EMPLOYEE;03-02-2017 20:00:00;03-02-2017 20:00:00;Variant 4;4
travel permit 74189;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;06-02-2017 8:55:27;06-02-2017 8:55:27;Variant 4;4
travel permit 74189;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;06-02-2017 8:55:30;06-02-2017 8:55:30;Variant 4;4
travel permit 74189;Request Payment;UNDEFINED;08-02-2017 11:22:11;08-02-2017 11:22:11;Variant 4;4
travel permit 74189;Payment Handled;UNDEFINED;13-02-2017 13:32:18;13-02-2017 13:32:18;Variant 4;4
travel permit 76327;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;12-01-2017 6:54:18;12-01-2017 6:54:18;Variant 4;4
travel permit 76327;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;12-01-2017 6:54:21;12-01-2017 6:54:21;Variant 4;4
travel permit 76327;Start trip;EMPLOYEE;08-02-2017 20:00:00;08-02-2017 20:00:00;Variant 4;4
travel permit 76327;End trip;EMPLOYEE;10-02-2017 20:00:00;10-02-2017 20:00:00;Variant 4;4
travel permit 76327;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;13-02-2017 3:58:34;13-02-2017 3:58:34;Variant 4;4
travel permit 76327;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-02-2017 3:58:38;13-02-2017 3:58:38;Variant 4;4
travel permit 76327;Request Payment;UNDEFINED;15-02-2017 11:35:20;15-02-2017 11:35:20;Variant 4;4
travel permit 76327;Payment Handled;UNDEFINED;20-02-2017 13:31:52;20-02-2017 13:31:52;Variant 4;4
travel permit 73796;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;12-01-2017 6:56:03;12-01-2017 6:56:03;Variant 4;4
travel permit 73796;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;12-01-2017 6:56:05;12-01-2017 6:56:05;Variant 4;4
travel permit 73796;Start trip;EMPLOYEE;23-01-2017 20:00:00;23-01-2017 20:00:00;Variant 4;4
travel permit 73796;End trip;EMPLOYEE;23-01-2017 20:00:00;23-01-2017 20:00:00;Variant 4;4
travel permit 73796;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;25-01-2017 9:21:29;25-01-2017 9:21:29;Variant 4;4
travel permit 73796;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;25-01-2017 9:21:34;25-01-2017 9:21:34;Variant 4;4
travel permit 73796;Request Payment;UNDEFINED;27-01-2017 8:18:03;27-01-2017 8:18:03;Variant 4;4
travel permit 73796;Payment Handled;UNDEFINED;30-01-2017 13:31:40;30-01-2017 13:31:40;Variant 4;4
travel permit 76386;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;12-01-2017 12:05:13;12-01-2017 12:05:13;Variant 4;4
travel permit 76386;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;12-01-2017 12:05:20;12-01-2017 12:05:20;Variant 4;4
travel permit 76386;Start trip;EMPLOYEE;20-02-2017 20:00:00;20-02-2017 20:00:00;Variant 4;4
travel permit 76386;End trip;EMPLOYEE;25-02-2017 20:00:00;25-02-2017 20:00:00;Variant 4;4
travel permit 76386;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;06-03-2017 7:30:49;06-03-2017 7:30:49;Variant 4;4
travel permit 76386;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;06-03-2017 7:41:59;06-03-2017 7:41:59;Variant 4;4
travel permit 76386;Request Payment;UNDEFINED;08-03-2017 7:16:52;08-03-2017 7:16:52;Variant 4;4
travel permit 76386;Payment Handled;UNDEFINED;13-03-2017 13:31:02;13-03-2017 13:31:02;Variant 4;4
travel permit 77784;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;12-01-2017 13:59:16;12-01-2017 13:59:16;Variant 4;4
travel permit 77784;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-01-2017 6:05:33;13-01-2017 6:05:33;Variant 4;4
travel permit 77784;Start trip;EMPLOYEE;14-01-2017 20:00:00;14-01-2017 20:00:00;Variant 4;4
travel permit 77784;End trip;EMPLOYEE;18-01-2017 20:00:00;18-01-2017 20:00:00;Variant 4;4
travel permit 77784;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;10-02-2017 13:21:20;10-02-2017 13:21:20;Variant 4;4
travel permit 77784;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;16-02-2017 9:21:40;16-02-2017 9:21:40;Variant 4;4
travel permit 77784;Request Payment;UNDEFINED;17-02-2017 12:15:07;17-02-2017 12:15:07;Variant 4;4
travel permit 77784;Payment Handled;UNDEFINED;20-02-2017 13:31:52;20-02-2017 13:31:52;Variant 4;4
travel permit 73748;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;13-01-2017 8:00:53;13-01-2017 8:00:53;Variant 4;4
travel permit 73748;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-01-2017 8:01:24;13-01-2017 8:01:24;Variant 4;4
travel permit 73748;Start trip;EMPLOYEE;14-01-2017 20:00:00;14-01-2017 20:00:00;Variant 4;4
travel permit 73748;End trip;EMPLOYEE;18-01-2017 20:00:00;18-01-2017 20:00:00;Variant 4;4
travel permit 73748;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;02-02-2017 7:59:47;02-02-2017 7:59:47;Variant 4;4
travel permit 73748;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;02-02-2017 8:56:37;02-02-2017 8:56:37;Variant 4;4
travel permit 73748;Request Payment;UNDEFINED;02-02-2017 11:42:26;02-02-2017 11:42:26;Variant 4;4
travel permit 73748;Payment Handled;UNDEFINED;06-02-2017 13:31:44;06-02-2017 13:31:44;Variant 4;4
travel permit 77792;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;13-01-2017 8:33:19;13-01-2017 8:33:19;Variant 4;4
travel permit 77792;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-01-2017 8:33:22;13-01-2017 8:33:22;Variant 4;4
travel permit 77792;Start trip;EMPLOYEE;14-01-2017 20:00:00;14-01-2017 20:00:00;Variant 4;4
travel permit 77792;End trip;EMPLOYEE;19-01-2017 20:00:00;19-01-2017 20:00:00;Variant 4;4
travel permit 77792;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;25-01-2017 9:06:19;25-01-2017 9:06:19;Variant 4;4
travel permit 77792;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;25-01-2017 9:19:34;25-01-2017 9:19:34;Variant 4;4
travel permit 77792;Request Payment;UNDEFINED;02-02-2017 11:40:56;02-02-2017 11:40:56;Variant 4;4
travel permit 77792;Payment Handled;UNDEFINED;06-02-2017 13:31:44;06-02-2017 13:31:44;Variant 4;4
travel permit 72869;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;13-01-2017 14:32:17;13-01-2017 14:32:17;Variant 4;4
travel permit 72869;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-01-2017 14:32:32;13-01-2017 14:32:32;Variant 4;4
travel permit 72869;Start trip;EMPLOYEE;14-01-2017 20:00:00;14-01-2017 20:00:00;Variant 4;4
travel permit 72869;End trip;EMPLOYEE;20-01-2017 20:00:00;20-01-2017 20:00:00;Variant 4;4
travel permit 72869;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;23-02-2017 17:27:13;23-02-2017 17:27:13;Variant 4;4
travel permit 72869;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;23-02-2017 17:27:22;23-02-2017 17:27:22;Variant 4;4
travel permit 72869;Request Payment;UNDEFINED;03-03-2017 10:49:46;03-03-2017 10:49:46;Variant 4;4
travel permit 72869;Payment Handled;UNDEFINED;06-03-2017 13:31:08;06-03-2017 13:31:08;Variant 4;4
travel permit 75921;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;13-01-2017 14:35:04;13-01-2017 14:35:04;Variant 4;4
travel permit 75921;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;13-01-2017 14:35:11;13-01-2017 14:35:11;Variant 4;4
travel permit 75921;Start trip;EMPLOYEE;14-01-2017 20:00:00;14-01-2017 20:00:00;Variant 4;4
travel permit 75921;End trip;EMPLOYEE;20-01-2017 20:00:00;20-01-2017 20:00:00;Variant 4;4
travel permit 75921;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;23-02-2017 17:28:55;23-02-2017 17:28:55;Variant 4;4
travel permit 75921;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;23-02-2017 17:29:04;23-02-2017 17:29:04;Variant 4;4
travel permit 75921;Request Payment;UNDEFINED;03-03-2017 10:48:27;03-03-2017 10:48:27;Variant 4;4
travel permit 75921;Payment Handled;UNDEFINED;06-03-2017 13:31:08;06-03-2017 13:31:08;Variant 4;4
travel permit 73685;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;16-01-2017 5:17:48;16-01-2017 5:17:48;Variant 4;4
travel permit 73685;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;16-01-2017 5:17:53;16-01-2017 5:17:53;Variant 4;4
travel permit 73685;Start trip;EMPLOYEE;29-01-2017 20:00:00;29-01-2017 20:00:00;Variant 4;4
travel permit 73685;End trip;EMPLOYEE;31-01-2017 20:00:00;31-01-2017 20:00:00;Variant 4;4
travel permit 73685;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;02-05-2017 3:28:50;02-05-2017 3:28:50;Variant 4;4
travel permit 73685;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;02-05-2017 3:38:31;02-05-2017 3:38:31;Variant 4;4
travel permit 73685;Request Payment;UNDEFINED;16-05-2017 4:04:02;16-05-2017 4:04:02;Variant 4;4
travel permit 73685;Payment Handled;UNDEFINED;18-05-2017 11:30:55;18-05-2017 11:30:55;Variant 4;4
travel permit 73668;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;16-01-2017 7:30:26;16-01-2017 7:30:26;Variant 4;4
travel permit 73668;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;16-01-2017 7:30:32;16-01-2017 7:30:32;Variant 4;4
travel permit 73668;Start trip;EMPLOYEE;21-02-2017 20:00:00;21-02-2017 20:00:00;Variant 4;4
travel permit 73668;End trip;EMPLOYEE;22-02-2017 20:00:00;22-02-2017 20:00:00;Variant 4;4
travel permit 73668;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;23-02-2017 12:21:15;23-02-2017 12:21:15;Variant 4;4
travel permit 73668;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;23-02-2017 12:21:27;23-02-2017 12:21:27;Variant 4;4
travel permit 73668;Request Payment;UNDEFINED;17-05-2017 6:45:01;17-05-2017 6:45:01;Variant 4;4
travel permit 73668;Payment Handled;UNDEFINED;22-05-2017 11:31:07;22-05-2017 11:31:07;Variant 4;4
travel permit 76149;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;16-01-2017 12:08:32;16-01-2017 12:08:32;Variant 4;4
travel permit 76149;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;16-01-2017 12:08:37;16-01-2017 12:08:37;Variant 4;4
travel permit 76149;Start trip;EMPLOYEE;10-03-2017 20:00:00;10-03-2017 20:00:00;Variant 4;4
travel permit 76149;End trip;EMPLOYEE;18-03-2017 20:00:00;18-03-2017 20:00:00;Variant 4;4
travel permit 76149;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;12-04-2017 9:44:30;12-04-2017 9:44:30;Variant 4;4
travel permit 76149;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;12-04-2017 9:57:04;12-04-2017 9:57:04;Variant 4;4
travel permit 76149;Request Payment;UNDEFINED;13-04-2017 9:57:05;13-04-2017 9:57:05;Variant 4;4
travel permit 76149;Payment Handled;UNDEFINED;20-04-2017 12:31:22;20-04-2017 12:31:22;Variant 4;4
travel permit 72533;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;17-01-2017 12:49:47;17-01-2017 12:49:47;Variant 6;6
travel permit 72533;Permit APPROVED by PRE_APPROVER;PRE_APPROVER;17-01-2017 12:49:50;17-01-2017 12:49:50;Variant 6;6
travel permit 72533;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;19-01-2017 8:23:02;19-01-2017 8:23:02;Variant 6;6
travel permit 72533;Start trip;EMPLOYEE;22-01-2017 20:00:00;22-01-2017 20:00:00;Variant 6;6
travel permit 72533;End trip;EMPLOYEE;24-01-2017 20:00:00;24-01-2017 20:00:00;Variant 6;6
travel permit 72533;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;25-01-2017 12:07:56;25-01-2017 12:07:56;Variant 6;6
travel permit 72533;Declaration APPROVED by PRE_APPROVER;PRE_APPROVER;25-01-2017 12:14:14;25-01-2017 12:14:14;Variant 6;6
travel permit 72533;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;27-01-2017 5:00:26;27-01-2017 5:00:26;Variant 6;6
travel permit 72533;Request Payment;UNDEFINED;31-01-2017 9:42:04;31-01-2017 9:42:04;Variant 6;6
travel permit 72533;Payment Handled;UNDEFINED;02-02-2017 13:32:54;02-02-2017 13:32:54;Variant 6;6
travel permit 73693;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;17-01-2017 18:30:21;17-01-2017 18:30:21;Variant 6;6
travel permit 73693;Permit APPROVED by PRE_APPROVER;PRE_APPROVER;17-01-2017 18:30:24;17-01-2017 18:30:24;Variant 6;6
travel permit 73693;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;19-01-2017 7:15:25;19-01-2017 7:15:25;Variant 6;6
travel permit 73693;Start trip;EMPLOYEE;17-04-2017 19:00:00;17-04-2017 19:00:00;Variant 6;6
travel permit 73693;End trip;EMPLOYEE;19-04-2017 19:00:00;19-04-2017 19:00:00;Variant 6;6
travel permit 73693;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;21-04-2017 15:39:09;21-04-2017 15:39:09;Variant 6;6
travel permit 73693;Declaration APPROVED by PRE_APPROVER;PRE_APPROVER;21-04-2017 15:39:19;21-04-2017 15:39:19;Variant 6;6
travel permit 73693;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;24-04-2017 5:59:25;24-04-2017 5:59:25;Variant 6;6
travel permit 73693;Request Payment;UNDEFINED;25-04-2017 9:38:08;25-04-2017 9:38:08;Variant 6;6
travel permit 73693;Payment Handled;UNDEFINED;01-05-2017 12:31:05;01-05-2017 12:31:05;Variant 6;6
travel permit 76560;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;18-01-2017 5:10:46;18-01-2017 5:10:46;Variant 4;4
travel permit 76560;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;18-01-2017 5:10:58;18-01-2017 5:10:58;Variant 4;4
travel permit 76560;Start trip;EMPLOYEE;25-01-2017 20:00:00;25-01-2017 20:00:00;Variant 4;4
travel permit 76560;End trip;EMPLOYEE;25-01-2017 20:00:00;25-01-2017 20:00:00;Variant 4;4
travel permit 76560;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;27-01-2017 9:54:50;27-01-2017 9:54:50;Variant 4;4
travel permit 76560;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;27-01-2017 9:55:13;27-01-2017 9:55:13;Variant 4;4
travel permit 76560;Request Payment;UNDEFINED;30-01-2017 8:29:09;30-01-2017 8:29:09;Variant 4;4
travel permit 76560;Payment Handled;UNDEFINED;02-02-2017 13:32:54;02-02-2017 13:32:54;Variant 4;4
travel permit 76569;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;18-01-2017 5:43:59;18-01-2017 5:43:59;Variant 4;4
travel permit 76569;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;18-01-2017 5:44:04;18-01-2017 5:44:04;Variant 4;4
travel permit 76569;Start trip;EMPLOYEE;24-01-2017 20:00:00;24-01-2017 20:00:00;Variant 4;4
travel permit 76569;End trip;EMPLOYEE;25-01-2017 20:00:00;25-01-2017 20:00:00;Variant 4;4
travel permit 76569;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;08-02-2017 6:58:31;08-02-2017 6:58:31;Variant 4;4
travel permit 76569;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;08-02-2017 6:58:45;08-02-2017 6:58:45;Variant 4;4
travel permit 76569;Request Payment;UNDEFINED;09-02-2017 10:50:40;09-02-2017 10:50:40;Variant 4;4
travel permit 76569;Payment Handled;UNDEFINED;13-02-2017 13:32:18;13-02-2017 13:32:18;Variant 4;4
travel permit 73246;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;18-01-2017 6:50:19;18-01-2017 6:50:19;Variant 6;6
travel permit 73246;Permit APPROVED by PRE_APPROVER;PRE_APPROVER;18-01-2017 6:50:29;18-01-2017 6:50:29;Variant 6;6
travel permit 73246;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;19-01-2017 7:12:21;19-01-2017 7:12:21;Variant 6;6
travel permit 73246;Start trip;EMPLOYEE;07-03-2017 20:00:00;07-03-2017 20:00:00;Variant 6;6
travel permit 73246;End trip;EMPLOYEE;11-03-2017 20:00:00;11-03-2017 20:00:00;Variant 6;6
travel permit 73246;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;16-03-2017 13:19:20;16-03-2017 13:19:20;Variant 6;6
travel permit 73246;Declaration APPROVED by PRE_APPROVER;PRE_APPROVER;16-03-2017 13:30:51;16-03-2017 13:30:51;Variant 6;6
travel permit 73246;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;20-03-2017 8:47:30;20-03-2017 8:47:30;Variant 6;6
travel permit 73246;Request Payment;UNDEFINED;21-03-2017 10:34:26;21-03-2017 10:34:26;Variant 6;6
travel permit 73246;Payment Handled;UNDEFINED;23-03-2017 13:30:45;23-03-2017 13:30:45;Variant 6;6
travel permit 73756;Permit SUBMITTED by EMPLOYEE;EMPLOYEE;18-01-2017 10:21:48;18-01-2017 10:21:48;Variant 6;6
travel permit 73756;Permit APPROVED by PRE_APPROVER;PRE_APPROVER;18-01-2017 10:21:55;18-01-2017 10:21:55;Variant 6;6
travel permit 73756;Permit FINAL_APPROVED by SUPERVISOR;SUPERVISOR;19-01-2017 7:13:49;19-01-2017 7:13:49;Variant 6;6
travel permit 73756;Start trip;EMPLOYEE;07-03-2017 20:00:00;07-03-2017 20:00:00;Variant 6;6
travel permit 73756;End trip;EMPLOYEE;11-03-2017 20:00:00;11-03-2017 20:00:00;Variant 6;6
travel permit 73756;Declaration SUBMITTED by EMPLOYEE;EMPLOYEE;13-03-2017 7:50:25;13-03-2017 7:50:25;Variant 6;6
travel permit 73756;Declaration APPROVED by PRE_APPROVER;PRE_APPROVER;14-03-2017 7:22:16;14-03-2017 7:22:16;Variant 6;6
travel permit 73756;Declaration FINAL_APPROVED by SUPERVISOR;SUPERVISOR;15-03-2017 7:12:18;15-03-2017 7:12:18;Variant 6;6
travel permit 73756;Request Payment;UNDEFINED;16-03-2017 6:05:10;16-03-2017 6:05:10;Variant 6;6
